configuration_id,model,input_view,learning_rate,weight_decay,batch_size,pretrain_epochs,maximum_epochs,early_stopping_patience,evaluation_scope,analysis_role,configuration_source,global_search_claimed,outer_test_used_for_configuration,fold_local_selection_scope
early_concat-v3,early_concat,window_robust,0.0006,0.0,32,5,80,12,complete five-fold subject-grouped out-of-fold evaluation,prespecified secondary mechanism or sensitivity analysis,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
late_average-v3,late_average,window_robust,0.0006,0.0,32,5,80,12,complete five-fold subject-grouped out-of-fold evaluation,prespecified secondary mechanism or sensitivity analysis,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
gated_fusion-v3,gated_fusion,window_robust,0.0006,0.0,32,5,80,12,complete five-fold subject-grouped out-of-fold evaluation,prespecified secondary mechanism or sensitivity analysis,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
se_fusion-v3,se_fusion,window_robust,0.0006,0.0,32,5,80,12,complete five-fold subject-grouped out-of-fold evaluation,prespecified secondary mechanism or sensitivity analysis,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
uniform_delay_band-v3,uniform_delay_band,window_robust,0.0006,0.0,32,5,80,12,complete five-fold subject-grouped out-of-fold evaluation,prespecified secondary mechanism or sensitivity analysis,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
delay_120_300-v3,delay_120_300,window_robust,0.0006,0.0,32,5,80,12,complete five-fold subject-grouped out-of-fold evaluation,prespecified secondary mechanism or sensitivity analysis,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
delay_120_350-v3,delay_120_350,window_robust,0.0006,0.0,32,5,80,12,complete five-fold subject-grouped out-of-fold evaluation,prespecified secondary mechanism or sensitivity analysis,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
delay_80_550-v3,delay_80_550,window_robust,0.0006,0.0,32,5,80,12,complete five-fold subject-grouped out-of-fold evaluation,prespecified secondary mechanism or sensitivity analysis,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
random-mask-82000,attention_edge_ablation_seed_82000,window_robust,0.0006,0.0,32,5,80,12,complete five-fold subject-grouped out-of-fold evaluation,independently trained degree-preserving random-rewiring topology control,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
random-mask-82001,attention_edge_ablation_seed_82001,window_robust,0.0006,0.0,32,5,80,12,complete five-fold subject-grouped out-of-fold evaluation,independently trained degree-preserving random-rewiring topology control,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
random-mask-82002,attention_edge_ablation_seed_82002,window_robust,0.0006,0.0,32,5,80,12,complete five-fold subject-grouped out-of-fold evaluation,independently trained degree-preserving random-rewiring topology control,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
random-mask-82003,attention_edge_ablation_seed_82003,window_robust,0.0006,0.0,32,5,80,12,complete five-fold subject-grouped out-of-fold evaluation,independently trained degree-preserving random-rewiring topology control,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
random-mask-82004,attention_edge_ablation_seed_82004,window_robust,0.0006,0.0,32,5,80,12,complete five-fold subject-grouped out-of-fold evaluation,independently trained degree-preserving random-rewiring topology control,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
random-mask-82005,attention_edge_ablation_seed_82005,window_robust,0.0006,0.0,32,5,80,12,complete five-fold subject-grouped out-of-fold evaluation,independently trained degree-preserving random-rewiring topology control,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
random-mask-82006,attention_edge_ablation_seed_82006,window_robust,0.0006,0.0,32,5,80,12,complete five-fold subject-grouped out-of-fold evaluation,independently trained degree-preserving random-rewiring topology control,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
random-mask-82007,attention_edge_ablation_seed_82007,window_robust,0.0006,0.0,32,5,80,12,complete five-fold subject-grouped out-of-fold evaluation,independently trained degree-preserving random-rewiring topology control,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
random-mask-82008,attention_edge_ablation_seed_82008,window_robust,0.0006,0.0,32,5,80,12,complete five-fold subject-grouped out-of-fold evaluation,independently trained degree-preserving random-rewiring topology control,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
random-mask-82009,attention_edge_ablation_seed_82009,window_robust,0.0006,0.0,32,5,80,12,complete five-fold subject-grouped out-of-fold evaluation,independently trained degree-preserving random-rewiring topology control,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
random-mask-82010,attention_edge_ablation_seed_82010,window_robust,0.0006,0.0,32,5,80,12,complete five-fold subject-grouped out-of-fold evaluation,independently trained degree-preserving random-rewiring topology control,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
random-mask-82011,attention_edge_ablation_seed_82011,window_robust,0.0006,0.0,32,5,80,12,complete five-fold subject-grouped out-of-fold evaluation,independently trained degree-preserving random-rewiring topology control,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
random-mask-82012,attention_edge_ablation_seed_82012,window_robust,0.0006,0.0,32,5,80,12,complete five-fold subject-grouped out-of-fold evaluation,independently trained degree-preserving random-rewiring topology control,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
random-mask-82013,attention_edge_ablation_seed_82013,window_robust,0.0006,0.0,32,5,80,12,complete five-fold subject-grouped out-of-fold evaluation,independently trained degree-preserving random-rewiring topology control,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
random-mask-82014,attention_edge_ablation_seed_82014,window_robust,0.0006,0.0,32,5,80,12,complete five-fold subject-grouped out-of-fold evaluation,independently trained degree-preserving random-rewiring topology control,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
random-mask-82015,attention_edge_ablation_seed_82015,window_robust,0.0006,0.0,32,5,80,12,complete five-fold subject-grouped out-of-fold evaluation,independently trained degree-preserving random-rewiring topology control,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
random-mask-82016,attention_edge_ablation_seed_82016,window_robust,0.0006,0.0,32,5,80,12,complete five-fold subject-grouped out-of-fold evaluation,independently trained degree-preserving random-rewiring topology control,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
random-mask-82017,attention_edge_ablation_seed_82017,window_robust,0.0006,0.0,32,5,80,12,complete five-fold subject-grouped out-of-fold evaluation,independently trained degree-preserving random-rewiring topology control,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
random-mask-82018,attention_edge_ablation_seed_82018,window_robust,0.0006,0.0,32,5,80,12,complete five-fold subject-grouped out-of-fold evaluation,independently trained degree-preserving random-rewiring topology control,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
random-mask-82019,attention_edge_ablation_seed_82019,window_robust,0.0006,0.0,32,5,80,12,complete five-fold subject-grouped out-of-fold evaluation,independently trained degree-preserving random-rewiring topology control,cited architecture defaults plus the common protocol template,False,False,checkpoint epoch only
