model,outer_fold_id,candidate_id,learning_rate,weight_decay,batch_size,dropout,validation_mean_component_mae,selected,selection_unit,outer_test_metrics_available_to_selection
mufubp_net,4,mufubp_net-grid-b,0.000150,0.000100,64,0.150000,4.461494,False,fold-local validation subjects,False
mufubp_net,4,mufubp_net-grid-c,0.000450,0.000500,32,0.100000,4.551020,False,fold-local validation subjects,False
mufubp_net,5,mufu-v1,0.000300,0.000100,64,0.100000,4.287494,True,fold-local validation subjects,False
mufubp_net,5,mufubp_net-grid-b,0.000150,0.000100,64,0.150000,4.427020,False,fold-local validation subjects,False
mufubp_net,5,mufubp_net-grid-c,0.000450,0.000500,32,0.100000,4.496567,False,fold-local validation subjects,False
te_sagru,1,tesagru-v1,0.000600,0.000100,16,0.100000,4.594936,True,fold-local validation subjects,False
te_sagru,1,te_sagru-grid-b,0.000300,0.000100,16,0.150000,4.715781,False,fold-local validation subjects,False
te_sagru,1,te_sagru-grid-c,0.000900,0.000500,8,0.100000,4.797273,False,fold-local validation subjects,False
te_sagru,2,tesagru-v1,0.000600,0.000100,16,0.100000,4.653781,True,fold-local validation subjects,False
te_sagru,2,te_sagru-grid-b,0.000300,0.000100,16,0.150000,4.785273,False,fold-local validation subjects,False
te_sagru,2,te_sagru-grid-c,0.000900,0.000500,8,0.100000,4.872478,False,fold-local validation subjects,False
te_sagru,3,tesagru-v1,0.000600,0.000100,16,0.100000,4.614273,True,fold-local validation subjects,False
te_sagru,3,te_sagru-grid-b,0.000300,0.000100,16,0.150000,4.751478,False,fold-local validation subjects,False
te_sagru,3,te_sagru-grid-c,0.000900,0.000500,8,0.100000,4.820567,False,fold-local validation subjects,False
te_sagru,4,tesagru-v1,0.000600,0.000100,16,0.100000,4.671478,True,fold-local validation subjects,False
te_sagru,4,te_sagru-grid-b,0.000300,0.000100,16,0.150000,4.790567,False,fold-local validation subjects,False
te_sagru,4,te_sagru-grid-c,0.000900,0.000500,8,0.100000,4.877625,False,fold-local validation subjects,False
te_sagru,5,tesagru-v1,0.000600,0.000100,16,0.100000,4.616567,True,fold-local validation subjects,False
te_sagru,5,te_sagru-grid-b,0.000300,0.000100,16,0.150000,4.753625,False,fold-local validation subjects,False
te_sagru,5,te_sagru-grid-c,0.000900,0.000500,8,0.100000,4.835309,False,fold-local validation subjects,False
bp_net,1,bpnet-v1,0.000300,0.000100,16,0.100000,4.975736,True,fold-local validation subjects,False
bp_net,1,bp_net-grid-b,0.000150,0.000100,16,0.150000,5.112902,False,fold-local validation subjects,False
bp_net,1,bp_net-grid-c,0.000450,0.000500,8,0.100000,5.194478,False,fold-local validation subjects,False
bp_net,2,bpnet-v1,0.000300,0.000100,16,0.100000,5.050902,True,fold-local validation subjects,False
bp_net,2,bp_net-grid-b,0.000150,0.000100,16,0.150000,5.182478,False,fold-local validation subjects,False
bp_net,2,bp_net-grid-c,0.000450,0.000500,8,0.100000,5.256206,False,fold-local validation subjects,False
bp_net,3,bpnet-v1,0.000300,0.000100,16,0.100000,5.011478,True,fold-local validation subjects,False
bp_net,3,bp_net-grid-b,0.000150,0.000100,16,0.150000,5.135206,False,fold-local validation subjects,False
bp_net,3,bp_net-grid-c,0.000450,0.000500,8,0.100000,5.210072,False,fold-local validation subjects,False
bp_net,4,bpnet-v1,0.000300,0.000100,16,0.100000,5.055206,True,fold-local validation subjects,False
bp_net,4,bp_net-grid-b,0.000150,0.000100,16,0.150000,5.180072,False,fold-local validation subjects,False
bp_net,4,bp_net-grid-c,0.000450,0.000500,8,0.100000,5.263431,False,fold-local validation subjects,False
bp_net,5,bpnet-v1,0.000300,0.000100,16,0.100000,5.006072,True,fold-local validation subjects,False
bp_net,5,bp_net-grid-b,0.000150,0.000100,16,0.150000,5.139431,False,fold-local validation subjects,False
bp_net,5,bp_net-grid-c,0.000450,0.000500,8,0.100000,5.226471,False,fold-local validation subjects,False
cnn_bilstm,1,cnnbilstm-v1,0.000100,0.000100,64,0.100000,5.345781,True,fold-local validation subjects,False
cnn_bilstm,1,cnn_bilstm-grid-b,0.000050,0.000100,64,0.150000,5.474494,False,fold-local validation subjects,False
cnn_bilstm,1,cnn_bilstm-grid-c,0.000150,0.000500,32,0.100000,5.553567,False,fold-local validation subjects,False
cnn_bilstm,2,cnnbilstm-v1,0.000100,0.000100,64,0.100000,5.412494,True,fold-local validation subjects,False
cnn_bilstm,2,cnn_bilstm-grid-b,0.000050,0.000100,64,0.150000,5.541567,False,fold-local validation subjects,False
cnn_bilstm,2,cnn_bilstm-grid-c,0.000150,0.000500,32,0.100000,5.621072,False,fold-local validation subjects,False
cnn_bilstm,3,cnnbilstm-v1,0.000100,0.000100,64,0.100000,5.370567,True,fold-local validation subjects,False
cnn_bilstm,3,cnn_bilstm-grid-b,0.000050,0.000100,64,0.150000,5.500072,False,fold-local validation subjects,False
cnn_bilstm,3,cnn_bilstm-grid-c,0.000150,0.000500,32,0.100000,5.580049,False,fold-local validation subjects,False
cnn_bilstm,4,cnnbilstm-v1,0.000100,0.000100,64,0.100000,5.420072,True,fold-local validation subjects,False
cnn_bilstm,4,cnn_bilstm-grid-b,0.000050,0.000100,64,0.150000,5.550049,False,fold-local validation subjects,False
cnn_bilstm,4,cnn_bilstm-grid-c,0.000150,0.000500,32,0.100000,5.630501,False,fold-local validation subjects,False
cnn_bilstm,5,cnnbilstm-v1,0.000100,0.000100,64,0.100000,5.376049,True,fold-local validation subjects,False
cnn_bilstm,5,cnn_bilstm-grid-b,0.000050,0.000100,64,0.150000,5.506501,False,fold-local validation subjects,False
cnn_bilstm,5,cnn_bilstm-grid-c,0.000150,0.000500,32,0.100000,5.587390,False,fold-local validation subjects,False
