cohort,point_id,window_id,projection_1,projection_2,method,sample_seed
PulseDB-Vital,146,pulsedb_vital-W0118478,0.386285,1.393875,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,147,pulsedb_vital-W0196840,1.288948,2.489950,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,148,pulsedb_vital-W0062190,0.865970,-0.264750,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,149,pulsedb_vital-W0074420,1.437642,1.349455,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,150,pulsedb_vital-W0221050,1.636337,-1.134373,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,151,pulsedb_vital-W0189002,1.554323,0.344332,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,152,pulsedb_vital-W0224447,1.845436,-2.286670,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,153,pulsedb_vital-W0128613,0.921361,0.005827,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,154,pulsedb_vital-W0193628,2.040346,-0.168339,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,155,pulsedb_vital-W0035581,-0.118942,0.597410,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,156,pulsedb_vital-W0118433,1.387218,0.036326,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,157,pulsedb_vital-W0146903,1.932208,-0.847078,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,158,pulsedb_vital-W0001064,1.244549,2.013938,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,159,pulsedb_vital-W0005404,1.063764,2.180346,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,160,pulsedb_vital-W0212644,1.416517,-0.818994,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,161,pulsedb_vital-W0081014,1.375915,-0.243440,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,162,pulsedb_vital-W0108959,0.281203,1.807393,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,163,pulsedb_vital-W0042737,0.923008,2.376329,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,164,pulsedb_vital-W0223875,1.797700,1.602393,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,165,pulsedb_vital-W0143437,1.171191,0.796194,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,166,pulsedb_vital-W0152183,1.364332,0.614498,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,167,pulsedb_vital-W0111216,0.532163,-1.587821,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,168,pulsedb_vital-W0132988,0.451402,1.221145,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,169,pulsedb_vital-W0200224,1.841589,2.550758,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,170,pulsedb_vital-W0189425,0.239253,2.004498,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,171,pulsedb_vital-W0047053,1.872949,2.751577,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,172,pulsedb_vital-W0178552,0.584256,-0.878525,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,173,pulsedb_vital-W0063570,0.945010,2.097334,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,174,pulsedb_vital-W0012445,2.217014,-1.888128,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,175,pulsedb_vital-W0046879,1.295947,-0.748324,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,176,pulsedb_vital-W0102709,1.944166,-0.852729,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,177,pulsedb_vital-W0188620,2.180112,-1.846275,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,178,pulsedb_vital-W0130272,1.346769,-1.796377,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,179,pulsedb_vital-W0048411,1.724295,-0.696772,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,180,pulsedb_vital-W0071975,0.892464,0.986603,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,181,pulsedb_vital-W0129484,0.634570,-0.206874,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,182,pulsedb_vital-W0189277,1.364926,1.852203,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,183,pulsedb_vital-W0196221,2.393236,0.084104,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,184,pulsedb_vital-W0097629,1.761523,-0.026850,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,185,pulsedb_vital-W0015772,2.734358,-1.366423,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,186,pulsedb_vital-W0026221,1.266012,-2.709359,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,187,pulsedb_vital-W0049481,1.661971,1.063599,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,188,pulsedb_vital-W0169435,1.090494,-0.239796,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,189,pulsedb_vital-W0059579,1.417810,-1.455508,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,190,pulsedb_vital-W0121777,1.032916,2.081331,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,191,pulsedb_vital-W0033004,1.823078,-0.480414,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,192,pulsedb_vital-W0170599,1.621531,-0.077430,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,193,pulsedb_vital-W0051506,0.426159,-0.000284,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,194,pulsedb_vital-W0125062,0.736860,0.090951,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
PulseDB-Vital,195,pulsedb_vital-W0072851,1.265013,2.120930,"PCA of standardized released demographic, SQI, spectral, and pulse-shape summaries",4201
